timestamp,distance,temperature,brightness
49721,4095,warm,73
50760,4095,warm,73
51784,229,cool,227
52399,4095,warm,73
53008,240,cool,227
53631,4095,warm,73
54214,4095,warm,73
54862,4095,warm,73
55730,4095,warm,73
56497,4095,warm,73
57110,4095,warm,73
58133,4095,warm,73
58733,4095,warm,73
59374,4095,warm,73
59987,4095,warm,73
60678,4095,warm,73
61829,4095,warm,73
62843,4095,warm,73
63867,4095,warm,73
64483,4095,warm,73
65696,4095,warm,73
66745,4095,warm,73
67609,4095,warm,73
68572,4095,warm,73
69602,4095,warm,73
70626,4095,warm,73
71495,4095,warm,73
72116,4095,warm,73
73073,4095,warm,73
74298,4095,warm,73
74883,4095,warm,73
75961,4095,warm,73
76534,4095,warm,73
77135,4095,warm,73
78209,4095,warm,73
78822,4095,warm,73
79692,4095,warm,73
80653,4095,warm,73
81230,4095,warm,73
81892,128,cool,227
82914,143,cool,227
83537,4095,warm,73
84553,4095,warm,73
85577,4095,warm,73
86601,4095,warm,73
87625,4095,warm,73
88649,4095,warm,73
89231,4095,warm,73
89873,4095,warm,73
90466,4095,warm,73
91151,4095,warm,73
91783,4095,warm,73
92395,4095,warm,73
93348,4095,warm,73
94242,4095,warm,73
94862,4095,warm,73
95806,4095,warm,73
96389,4095,warm,73
97044,4095,warm,73
97657,4095,warm,73
13111,4095,warm,73
17013,4095,warm,73
17587,4095,warm,73
18162,4095,warm,73
18735,4095,warm,73
19478,4095,warm,73
20062,4095,warm,73
20716,4095,warm,73
21336,4095,warm,73
21924,4095,warm,73
22557,4095,warm,73
23129,4095,warm,73
23712,4095,warm,73
24284,277,cool,227
24858,4095,warm,73
25630,272,cool,227
26202,275,cool,227
26784,4095,warm,73
27368,4095,warm,73
28090,4095,warm,73
28712,4095,warm,73
29315,4095,warm,73
29900,4095,warm,73
30493,4095,warm,73
31066,4095,warm,73
31772,4095,warm,73
32387,4095,warm,73
32960,4095,warm,73
33543,4095,warm,73
34116,4095,warm,73
34704,4095,warm,73
35469,4095,warm,73
36071,4095,warm,73
36644,4095,warm,73
37496,4095,warm,73
38122,4095,warm,73
38706,4095,warm,73
39354,4095,warm,73
39926,4095,warm,73
40578,4095,warm,73
41197,4095,warm,73
41811,4095,warm,73
42626,4095,warm,73
43241,4095,warm,73
43838,4095,warm,73
44469,4095,warm,73
45083,4095,warm,73
45665,4095,warm,73
46309,4095,warm,73
46932,4095,warm,73
47544,4095,warm,73
48117,4095,warm,73
48781,4095,warm,73
49360,4095,warm,73
49944,4095,warm,73
50617,4095,warm,73
51231,4095,warm,73
51823,4095,warm,73
52457,4095,warm,73
53030,4095,warm,73
53683,4095,warm,73
54270,4095,warm,73
54914,4095,warm,73
55527,4095,warm,73
56100,4095,warm,73
56683,4095,warm,73
57380,4095,warm,73
58182,4095,warm,73
58765,4095,warm,73
59348,4095,warm,73
60031,4095,warm,73
60614,4095,warm,73
61196,4095,warm,73
61781,4095,warm,73
62496,4095,warm,73
63079,4095,warm,73
63726,4095,warm,73
7607,4095,warm,73
9661,4095,warm,73
10284,4095,warm,73
10897,4095,warm,73
11509,4095,warm,73
12132,4095,warm,73
